X,Y,Omega,Omegadt,Theta,Thetadt,Psi,d,T
1.6944361065296316,-0.0040473432579323423,-0.0030595158446304928,0.0029516710833387473,-0.011382707992384186,-0.12855349081533571,0.0,0.02,0
1.7222132444728342,-0.0042358796096129301,-0.0030299991337971051,0.0045353767817917119,-0.012668242900537544,-0.12927693961027167,0.0,0.02,0
1.7499903629353166,-0.0044272645432352842,-0.0029846453659791881,0.0054338193365718497,-0.013961012296640261,-0.13038855156659318,0.0,0.02,0
1.7777674593732691,-0.0046218198009114579,-0.0029303071726134696,0.0047626981443418346,-0.015264897812306192,-0.13172037003143922,0.0,-0.02,0
1.8055445311197305,-0.0048198689451655983,-0.002882680191170051,0.0063039600348145331,-0.016582101512620583,-0.13288769800799358,0.0,0.02,0
1.8333215753653374,-0.0050217383316696687,-0.0028196405908219057,0.0058797690458191965,-0.01791097849270052,-0.13443278625182067,0.0,-0.02,0
1.8610985891412499,-0.0052277576617491923,-0.0027608429003637136,0.0058165949206224607,-0.019255306355218726,-0.13587390611599204,0.0,-0.02,0
1.8888755693086001,-0.0054382595720496628,-0.0027026769511574889,0.0045725222346421849,-0.020614045416378644,-0.13729954212594853,0.0,-0.02,0
1.9166525125373723,-0.0056535805816320065,-0.0026569517288110669,0.0039585779606691298,-0.021987040837638128,-0.13842025835992947,0.0,-0.02,0
1.9444294152936232,-0.0058740608333175178,-0.0026173659492043757,0.0032701898435933134,-0.023371243421237423,-0.1393904980561719,0.0,-0.02,0
1.9722062738246813,-0.0061000440565829794,-0.0025846640507684424,0.003310956011274437,-0.024765148401799143,-0.14019201517469967,0.0,-0.02,0
1.9999830841499864,-0.0063318768058327445,-0.0025515544906556981,0.0044187730171925581,-0.026167068553546141,-0.14100352400099242,0.0,0.02,0
2.0277598420490217,-0.0065699080852610649,-0.0025073667604837723,0.0059371622487787989,-0.027577103793556067,0.06145506765891609,0.0,0.02,2
2.0555365430497341,-0.0068144889279721094,-0.0024479951379959845,0.0082043548955751389,-0.026962553116966905,0.26354150509539659,0.0,0.02,2
2.0833131824131192,-0.0070659724225737427,-0.0023659515890402331,0.01020997972013107,-0.02432713806601294,0.2615306337974615,0.0,0.02,0
2.1110897598550236,-0.0073242046543019702,-0.0022638517918389224,0.012183475360780557,-0.021711831728038325,0.25902818778762543,0.0,0.02,0
2.1388662800233518,-0.0075885256902827221,-0.002142017038231117,0.014445899945046976,-0.019121549850162071,0.25604204186586549,0.0,0.02,0
2.1666427479502737,-0.007858280720398873,-0.0019975580387806471,0.015651133874554937,-0.016561129431503417,0.25250138011462847,0.0,0.02,0
2.1944191689896106,-0.0081328212767444678,-0.0018410467000350976,0.015500437300446826,-0.014036115630357133,0.045123693628311284,0.0,-0.02,-2
2.2221955487547116,-0.0084115064333003409,-0.0016860423270306294,0.014942891576686337,-0.01358487869407402,0.041324566838986082,0.0,-0.02,0
2.2499718930552435,-0.0086937041829648672,-0.0015366134112637659,0.014777017356754754,-0.01317163302568416,0.037662093413327664,0.0,-0.02,0
